gene1,gene2,gene1_id,gene2_id,score
AKT1,RARA,203,112,1.64654749651997
HDAC6,SEPTIN7,268,616,1.64647590854923
ACSL4,HNRNPD,520,530,1.64617876365186
SUN1,RAD21,524,552,1.64603025969191
PTK2B,SYK,250,258,1.64602154138541
SLC25A3,TOP1,461,124,1.64597857357071
ERBB2,EZR,247,506,1.6458652727389
PNN,SRSF11,534,494,1.64572437932576
CSNK2B,KMT2B,288,399,1.645667712
PRKCQ,EZR,264,506,1.64549509850032
DYNLL2,STRN3,509,493,1.64546549249525
PADI4,HDAC1,197,205,1.64545712174263
PTK6,TUBA4A,306,62,1.6454150734283
NOS2,PLEC,224,626,1.64536786312155
PPARG,MAP4K4,24,549,1.64530237356418
GRB2,ZAP70,565,265,1.64513826610659
DNAJB6,MBNL1,459,543,1.64508333925945
HTR2A,JAK2,101,330,1.64506708128323
APP,CACNB1,491,145,1.6450329199861
